Hours_Studied,Attendance,Assignments_Submitted,Sleep_Hours,Social_Activity,Previous_Score,Stress_Level,Pass
11.986856612044932,91.79226523903202,7,6.747826268644531,6.643510882919845,74.4180173432666,10.0,1
9.44694279531526,86.09560419495322,4,7.723703754997729,9.480244461075822,43.03422758100844,3.480220761429485,0
12.59075415240277,75.71556443904208,9,5.157718925414199,7.505069279600973,28.6879016337966,5.15060248088119,0
16.092119425632102,67.23675866753311,4,7.0173051649308515,9.831222439703138,15.0,6.5790186854202295,0
9.063386501106656,83.37867976336308,3,8.852098254653043,6.012271899528087,79.65165548355934,7.966015529989541,0
9.063452172203277,79.72182462506099,4,6.216540335989914,7.2697241024818355,67.3151141072894,4.601134286776327,1
16.316851262029566,85.74231864033278,7,5.398075892795189,4.040168829791945,60.93818514717947,1.0,1
13.069738916611636,82.62206162018363,3,5.6522844448290215,7.859969559975056,90.00243853332971,9.397973735410062,0
8.122102456260192,87.59463258383202,9,5.083477051454895,4.755996545484621,76.4718442944153,7.9012652989603565,0
12.170240174343858,68.57717746127318,2,5.479809519433985,3.5438141993520267,94.0934007689945,1.6426311737833377,1
8.146329228750151,90.80872878761191,8,6.018339471832962,9.034644591421552,39.930761500994066,4.48107802055111,1
8.137080985718972,77.3711952563088,3,4.672762875067765,8.850959103430641,64.37808876882866,9.920456073818315,0
10.967849086264136,99.90313047150319,11,6.520303834134484,11.13149493979429,35.89915925093574,9.619491046144665,1
2.3468790213688084,66.72974618292518,7,7.6729603259226415,6.275497721699604,60.87111802660159,8.346600056697362,0
3.100328669947869,95.83156563798299,3,5.3199169658090035,9.632211387347024,60.52491463219981,5.559718915100343,0
7.750849883036109,77.37492940155177,3,8.475069100734299,10.203190289094653,76.27904547073527,6.207468547031275,0
5.948675518662305,67.18298395662661,11,7.164029715085873,9.779095231326378,65.82014986055417,5.672685487184684,0
11.256989330381096,69.19336999134813,9,7.839754761311275,4.6973852687914315,76.22132848903848,8.820599458172094,1
6.367903697915157,71.15583230166816,3,5.644815079992222,8.597453929084756,77.6619223965001,3.8103939837622245,0
4.350785194658834,80.08999135682299,8,7.6108827951866,9.456561184218646,100.0,3.9855008627894883,1
15.862595075686215,81.274025856426,4,5.080485929486093,8.028713867631767,59.32466020484976,8.52568646709004,0
9.096894798053857,68.11559995273706,9,7.657321751087461,0.0,48.061591388005176,5.889096361221096,1
10.270112818751695,74.7077448928682,8,6.72339114173159,8.64195849589392,69.42950507569536,9.44616838863452,1
4.301007255146173,100.0,9,7.219226585980219,16.85012415758897,50.55895951148822,4.321219482548636,1
7.822469101899269,95.73051804120854,8,4.971727012687693,6.559842924972069,91.67529383185764,5.863054099152937,1
10.443690358839465,80.23588403608838,7,5.336409205040414,5.087691608578716,59.902075298985814,3.6939675378901167,0
5.396025690310789,75.4560417380184,8,7.2763966837294,9.493394238845593,54.81962537826817,6.0184067035589175,1
11.502792073382688,76.44037592061913,6,5.267147594508539,9.249512841866286,56.51631701927988,2.3036326575030026,0
7.59744524032478,82.362215672765,8,7.10216817972886,12.770940661665659,77.93151362248953,4.780916447612593,1
8.833225000826893,62.72648921761913,2,4.7227208516016805,2.968527376364449,62.160554301833265,2.4093653376797057,0
7.593173551082412,71.91148155091986,2,7.602626476466669,10.92552101029997,53.44999723765312,7.734808082978145,0
17.409112738035752,54.97699111346893,10,4.897719690800939,10.361688245005855,94.97633451722356,7.791473349399129,1
9.946011101048263,79.79067747126335,6,7.21798991898338,7.4314138522378155,49.588942868088495,1.6743431737891372,1
5.769156284176399,82.76635127643289,6,7.313320213739801,9.35474927168676,65.64018933259388,9.334714363751432,1
13.290179648412757,69.20176245240751,4,5.594196636041553,12.11782992639343,76.74151072898415,10.0,0
